crop,Location,Year,Plot,Trt,Herbicide,Rate (oz/A),GPA,species,dens,densitym,control
soybean,Arlington,2018,116,16,Check,0,0,common ragweed,1,8,0
soybean,Arlington,2018,203,16,Check,0,0,common ragweed,6,48,0
soybean,Arlington,2018,311,16,Check,0,0,common ragweed,1,8,0
soybean,Arlington,2018,406,16,Check,0,0,common ragweed,0,1,0
soybean,Arlington,2018,116,16,Check,0,0,lambs,2.5,20,0
soybean,Arlington,2018,203,16,Check,0,0,lambs,1.5,12,0
soybean,Arlington,2018,311,16,Check,0,0,lambs,3,24,0
soybean,Arlington,2018,406,16,Check,0,0,lambs,1,8,0
soybean,Arlington,2018,116,16,Check,0,0,velvetleaf,1,8,0
soybean,Arlington,2018,203,16,Check,0,0,velvetleaf,0,1,0
soybean,Arlington,2018,311,16,Check,0,0,velvetleaf,1.5,12,0
soybean,Arlington,2018,406,16,Check,0,0,velvetleaf,0,1,0
soybean,Arlington,2018,116,16,Check,0,0,grass,3.5,28,0
soybean,Arlington,2018,203,16,Check,0,0,grass,15,120,0
soybean,Arlington,2018,311,16,Check,0,0,grass,25,200,0
soybean,Arlington,2018,406,16,Check,0,0,grass,3,24,0
soybean,Arlington,2018,116,16,Check,0,0,smartweed,0,1,0
soybean,Arlington,2018,203,16,Check,0,0,smartweed,1,8,0
soybean,Arlington,2018,311,16,Check,0,0,smartweed,0,1,0
soybean,Arlington,2018,406,16,Check,0,0,smartweed,0,1,0
soybean,Arlington,2018,116,16,Check,0,0,eb nightshade,0,1,0
soybean,Arlington,2018,203,16,Check,0,0,eb nightshade,0.5,4,0
soybean,Arlington,2018,311,16,Check,0,0,eb nightshade,1,8,0
soybean,Arlington,2018,406,16,Check,0,0,eb nightshade,0.5,4,0
soybean,Janesville,2018,116,16,Check,0,0,giant ragweed,2,16,0
soybean,Janesville,2018,204,16,Check,0,0,giant ragweed,2.5,20,0
soybean,Janesville,2018,312,16,Check,0,0,giant ragweed,0.5,4,0
soybean,Janesville,2018,407,16,Check,0,0,giant ragweed,0,1,0
soybean,Janesville,2018,116,16,Check,0,0,lambs,0,1,0
soybean,Janesville,2018,204,16,Check,0,0,lambs,1.5,12,0
soybean,Janesville,2018,312,16,Check,0,0,lambs,4.5,36,0
soybean,Janesville,2018,407,16,Check,0,0,lambs,2.5,20,0
soybean,Janesville,2018,116,16,Check,0,0,velvetleaf,0,1,0
soybean,Janesville,2018,204,16,Check,0,0,velvetleaf,0,1,0
soybean,Janesville,2018,312,16,Check,0,0,velvetleaf,0,1,0
soybean,Janesville,2018,407,16,Check,0,0,velvetleaf,0,1,0
soybean,Janesville,2018,116,16,Check,0,0,grass,0,1,0
soybean,Janesville,2018,204,16,Check,0,0,grass,0,1,0
soybean,Janesville,2018,312,16,Check,0,0,grass,0,1,0
soybean,Janesville,2018,407,16,Check,0,0,grass,0,1,0
soybean,Janesville,2018,116,16,Check,0,0,pigweed,1.5,12,0
soybean,Janesville,2018,204,16,Check,0,0,pigweed,1,8,0
soybean,Janesville,2018,312,16,Check,0,0,pigweed,0.5,4,0
soybean,Janesville,2018,407,16,Check,0,0,pigweed,0,1,0
soybean,Arlington,2019,101,1,Canopy DF,2.25,2.5,common ragweed,2,10.8,0
soybean,Arlington,2019,116,16,Check,0,0,velvetleaf,3,16.1,0
soybean,Arlington,2019,116,16,Check,0,0,lambs,14,75.3,0
soybean,Arlington,2019,116,16,Check,0,0,grass,0,1,0
soybean,Arlington,2019,102,2,Canopy DF,2.25,5,common ragweed,5,26.9,0
soybean,Arlington,2019,204,16,Check,0,0,velvetleaf,2,10.8,0
soybean,Arlington,2019,204,16,Check,0,0,lambs,4,21.5,0
soybean,Arlington,2019,204,16,Check,0,0,grass,1,5.4,0
soybean,Arlington,2019,103,3,Canopy DF,2.25,10,common ragweed,4,21.5,0
soybean,Arlington,2019,312,16,Check,0,0,velvetleaf,0,1,0
soybean,Arlington,2019,312,16,Check,0,0,lambs,16,86.1,0
soybean,Arlington,2019,312,16,Check,0,0,grass,0,1,0
soybean,Arlington,2019,104,4,Canopy DF,2.25,15,common ragweed,12,64.6,0
soybean,Arlington,2019,407,16,Check,0,0,velvetleaf,0,1,0
soybean,Arlington,2019,407,16,Check,0,0,lambs,11,59.2,0
soybean,Arlington,2019,407,16,Check,0,0,grass,0,1,0
corn,Arlington,2018,116,16,Check,0,0,common ragweed,0,1,0
corn,Arlington,2018,204,16,Check,0,0,common ragweed,0.5,4,0
corn,Arlington,2018,312,16,Check,0,0,common ragweed,0.5,4,0
corn,Arlington,2018,408,16,Check,0,0,common ragweed,1,8,0
corn,Arlington,2018,116,16,Check,0,0,lambs,12,96,0
corn,Arlington,2018,204,16,Check,0,0,lambs,4,32,0
corn,Arlington,2018,312,16,Check,0,0,lambs,10.5,84,0
corn,Arlington,2018,408,16,Check,0,0,lambs,3,24,0
corn,Arlington,2018,116,16,Check,0,0,velvetleaf,1,8,0
corn,Arlington,2018,204,16,Check,0,0,velvetleaf,0,1,0
corn,Arlington,2018,312,16,Check,0,0,velvetleaf,0.5,4,0
corn,Arlington,2018,408,16,Check,0,0,velvetleaf,1,8,0
corn,Arlington,2018,116,16,Check,0,0,grass,10,80,0
corn,Arlington,2018,204,16,Check,0,0,grass,11,88,0
corn,Arlington,2018,312,16,Check,0,0,grass,9.5,76,0
corn,Arlington,2018,408,16,Check,0,0,grass,8.5,68,0
corn,Janesville,2018,116,16,Check,0,0,giant ragweed,3,24,0
corn,Janesville,2018,206,16,Check,0,0,giant ragweed,0.5,4,0
corn,Janesville,2018,312,16,Check,0,0,giant ragweed,1.5,12,0
corn,Janesville,2018,403,16,Check,0,0,giant ragweed,2,16,0
corn,Janesville,2018,116,16,Check,0,0,lambs,1,8,0
corn,Janesville,2018,206,16,Check,0,0,lambs,3,24,0
